laptop_title,asin,id,Performance,Build quality,Battery life,Display,Gaming,Graphics,Sound,Fans,Cooling system,Weight,Price
Razer Blade 15 Gaming Laptop: NVIDIA GeForce RTX 3070-11th Gen Intel 8-Core i7 CPU - 15.6? FHD 360Hz -16GB RAM - 1TB SSD - CNC Aluminum - Chroma RGB - THX Spatial Audio - Thunderbolt 3,b094nyg9rb,46,0.2846696,-0.438333,0.0663395,-0.4471553,0.4582074,0.960831,0.057218,-0.328352,0.1703614,0.037795,-0.4403295
"LENOVO LEGION Y540-15 GAMING LAPTOP, 15.6"" IPS, 60HZ, 250NITS, INTEL CORE I7-9750H PROCESSOR, 16G DDR4 2666MZ, 512GB, NVIDIA GTX1650, WIN 10, 81SY00GKUS, RAVEN BLACK",b07ylhrn27,47,0.945669,0.948906,-0.064958,0.940829,0.929622,0.9157863,0.959268,0.941836,0,0.8935072,0.9888
ACER NITRO 5 AN515-55-53E5 GAMING LAPTOP | INTEL CORE I5-10300H | NVIDIA GEFORCE RTX 3050 GPU | 15.6" FHD 144HZ IPS DISPLAY | 8GB DDR4 | 256GB NVME SSD | INTEL WI-FI 6 | BACKLIT KEYBOARD,b092yhjgmn,48,0.1719982,0.0251329,-0.46289,0.1636009,0.55569,0.5866045,-0.0693135,0.3973789,0.4478811,0.0633836,0.3790085
"CUK ROG ZEPHYRUS M16 GAMING LAPTOP PC (NVIDIA GEFORCE RTX 4070 8GB, INTEL 14 CORE I9-13900H, 32GB DDR5, 1TB PCIE SSD, 16"" QHD+ 240HZ, WINDOWS 11 HOME) NOTEBOOK COMPUTER FOR GAMERS (MADE_BY_ASUS)",b08krpknp7,49,0.9893307,0.992911,0,0.9849102,0.900479,0,0.735437,0,0,0,0.3365663
"ACER ASPIRE F 15, 15.6 FULL HD, INTEL CORE I5, NVIDIA 940MX, 8GB DDR4, 1TB HDD, WINDOWS 10 HOME, F5-573G-56CG",b01ld4mgn0,50,0.3790608,0.1819926,-0.01705,0.2451412,0.6152125,0.5140018,0.3832005,0.1810314,0.507335,0.4575507,0.5414217
"ALIENWARE M15 R4, RTX 3080 15.6 INCH GAMING LAPTOP FHD (FULL HD) - INTEL CORE I7-10870H, 32GB DDR4 RAM, 1TB SSD, NVIDIA GEFORCE RTX 3080 8GB GDDR6, WINDOWS 10 HOME - LUNAR LIGHT",b08xfpvk3w,51,0.6864584,0.4615487,0.3317183,0.5028056,0.7011164,0.7037728,0.2787971,0.5448059,0.7333473,0.5538208,0.5306909
"ALIENWARE M15 R3 15.6INCH FHD GAMING LAPTOP (LUNAR LIGHT) INTEL CORE I7-10750H 10TH GEN, 16GB DDR4 RAM, 512GB SSD, NVIDIA GEFORCE RTX 2060 6GB GDDR6, WINDOWS 10 HOME (AWM15-7272WHT-PUS)",b089hj9s33,52,0.1735073,0.1776523,-0.4952117,0.140948,0.2860232,0.3577625,0.4291725,0.2330992,0.221471,0.069659,-0.2950809
"HP VICTUS 15.6"" GAMING LAPTOP PC, NVIDIA GEFORCE RTX 3050 TI, AMD RYZEN 7 5800H, REFINED 1080P IPS DISPLAY, COMPACT DESIGN, ALL-IN-ONE KEYBOARD WITH ENLARGED TOUCHPAD, HD WEBCAM (15-FB0028NR, 2022)",b09x2b5tyj,53,0.5163012,0.1669425,-0.0602107,-0.0464921,0.6425082,0.2847501,0.2906784,0.0036488,0.2900755,0.6484527,0.5275177
"ASUS ROG Strix Scar 15 (2022) Gaming Laptop, 15.6? 300Hz IPS FHD Display, NVIDIA GeForce RTX 3070 Ti,Intel Core i9 12900H, 16GB DDR5, 1TB SSD, Per-Key RGB Keyboard, Windows 11 Home, G533ZW-AS94",b09rmw1l7y,54,0.4152655,0.1202331,-0.1552329,-0.0450622,0.5340391,0.3875586,0.3685156,0.199907,0.3379738,0.2707717,0.3629916
"Asus ROG Strix Hero II Gaming Laptop, 15.6? 144Hz IPS Type Full HD, NVIDIA GeForce RTX 2060, Intel Core i7-8750H, 16GB DDR4, 512GB PCIe Nvme SSD, RGB KB, Windows 10, GL504GV-DS74",b07mkllm1y,55,0.0696935,0.1412369,-0.3477509,0.235828,0.0465684,0.5077552,0.1797119,-0.4762853,0.0362712,0.2434837,0.0455134
